27P14,Grey,Trailer,PWC JETSKI,2019,Boat Trailer,2019-09-07,Canterbury
27TPR,Black,Harley Davidson,95 DYNA CONVERTIBLE,1995,Roadbike,2019-07-21,Canterbury
27UPL,Silver,Moped,YAMAHA NEOS YN100,2000,Moped,2019-06-10,Waitemata
28M73,Silver,Trailer,COMPASS-KHVT157,2019,Trailer,2019-07-26,Waitemata
28R72,Silver,Trailer,LOCAL,2002,Trailer,2019-05-06,Counties/Manukau
28S61,Silver,Trailer,TANDEM,2008,Trailer,2019-08-18,Northland
28UGT,Red,Honda,SY50,1991,Moped,2019-06-09,Canterbury
28W49,Silver,Trailer,TANDEM,2019,Trailer,2019-05-28,Bay of Plenty
28WSR,Red,Honda,VTR,1997,Roadbike,2019-10-05,Southern
28Z38,Silver,Trailer,TUFF,2018,Trailer,2019-05-20,Eastern
2968X,,,,0,,2019-05-24,Auckland City
29C53,Silver,Trailer,ASD JETSKI,2019,Boat Trailer,2019-09-03,Counties/Manukau
29W78,White,Trailer,500,2017,Trailer,2019-08-10,Northland
29ZLA,Blue,Honda,GIORNO,1993,Moped,2019-09-19,Bay of Plenty
29ZSG,Blue,Honda,VTR,2000,Roadbike,2019-08-19,Wellington
2A505,Silver,Trailer,BOAT,2015,Boat Trailer,2019-08-28,Waikato
2A628,Silver,Trailer,PRESCOTT,2015,Trailer,2019-06-11,Waitemata
2B713,Silver,Kea,K64SAT,2015,Trailer,2019-04-20,Waikato
2B837,Silver,Trailer,ROAD CHIEF,2015,Trailer,2019-08-18,Canterbury
2C532,Silver,Trailer,PRESCOTT,2015,Trailer,2019-09-28,Waikato
2C930,Silver,Trailer,ROADLINE,2015,Trailer,2019-05-04,Auckland City
2D974,Silver,Kea,KC126,2015,Trailer,2019-09-25,Counties/Manukau
2E268,Silver,Trailer,TRADETESTED 7X4,2015,Trailer,2019-10-02,Waitemata
2E955,Silver,Trailer,HELMACK 8X5,2015,Trailer,2019-09-14,Canterbury
2E962,Silver,Trailer,ELITE 7X4,2015,Trailer,2019-10-03,Canterbury
2F158,Silver,Trailer,HOMEBUILT,2015,Trailer,2019-06-19,Bay of Plenty
2F524,White,Homebuilt,HOMEBUILT,1974,Caravan,2019-05-12,Canterbury
2F866,Silver,Trailer,DOMESTIC TRAILER,2015,Trailer,2019-06-04,Wellington
2H555,Green,Tapper,HOME MADE,2015,Trailer,2019-08-01,Waitemata
2J371,Silver,Trailer,PRESCOTT,2015,Trailer,2019-09-21,Bay of Plenty
