273S,Silver,Factory Built,BRENT SMITH TRAILERS,2000,Trailer,2019-08-07,Waikato
27HML,Grey,Trailer,ARO BROS,1980,Trailer,2019-04-09,Auckland City
27TPR,Black,Harley Davidson,95 DYNA CONVERTIBLE,1995,Roadbike,2019-07-21,Canterbury
27UPL,Silver,Moped,YAMAHA NEOS YN100,2000,Moped,2019-06-10,Waitemata
28M73,Silver,Trailer,COMPASS-KHVT157,2019,Trailer,2019-07-26,Waitemata
28PEK,Purple,Modern,ZEPHYR 390,1986,Caravan,2019-03-28,Central
28R72,Silver,Trailer,LOCAL,2002,Trailer,2019-05-06,Counties/Manukau
28S61,Silver,Trailer,TANDEM,2008,Trailer,2019-08-18,Northland
28UGT,Red,Honda,SY50,1991,Moped,2019-06-09,Canterbury
28W49,Silver,Trailer,TANDEM,2019,Trailer,2019-05-28,Bay of Plenty
28Z38,Silver,Trailer,TUFF,2018,Trailer,2019-05-20,Eastern
2968X,,,,0,,2019-05-24,Auckland City
29Q13,Silver,Trailer,MEGASTRONG,2019,Trailer,2019-03-27,Eastern
29W78,White,Trailer,500,2017,Trailer,2019-08-10,Northland
29ZSG,Blue,Honda,VTR,2000,Roadbike,2019-08-19,Wellington
2A505,Silver,Trailer,BOAT,2015,Boat Trailer,2019-08-28,Waikato
2A628,Silver,Trailer,PRESCOTT,2015,Trailer,2019-06-11,Waitemata
2A836,Silver,Factory Built,TRAILER,2015,Trailer,2019-03-26,Wellington
2B713,Silver,Kea,K64SAT,2015,Trailer,2019-04-20,Waikato
2B837,Silver,Trailer,ROAD CHIEF,2015,Trailer,2019-08-18,Canterbury
2C930,Silver,Trailer,ROADLINE,2015,Trailer,2019-05-04,Auckland City
2D265,Black,Homebuilt,DOMESTIC TRAILER,2015,Trailer,2019-08-16,Wellington
2D860,Grey,Trailer,HOMEBUILT,2015,Trailer,2019-04-15,Canterbury
2E430,Silver,Pinto,BRAKED TANDEM,2015,Trailer,2019-04-11,Counties/Manukau
2E570,Silver,Trailer,ELITE 8X4,2015,Trailer,2019-03-18,Canterbury
2F158,Silver,Trailer,HOMEBUILT,2015,Trailer,2019-06-19,Bay of Plenty
2F524,White,Homebuilt,HOMEBUILT,1974,Caravan,2019-05-12,Canterbury
2F866,Silver,Trailer,DOMESTIC TRAILER,2015,Trailer,2019-06-04,Wellington
2G280,Silver,Trailer,DOMESTIC TRAILER,2015,Trailer,2019-08-30,Central
2H360,Silver,Trailer,ELITE 6X4,2015,Trailer,2019-04-15,Auckland City
2H555,Green,Tapper,HOME MADE,2015,Trailer,2019-08-01,Waitemata
2J754,Black,Trailer,DOMESTIC TRAILER,2002,Trailer,2019-06-19,Central
2K187,Black,Homebuilt,DOMESTIC TRAILER,2015,Trailer,2019-08-04,Central
2K738,Grey,Trailer,HOMEBUILT,2015,Trailer,2019-05-16,Central
2K813,Grey,Trailer,BOAT,2015,Boat Trailer,2019-04-18,Waitemata
2L556,Silver,Trailer,TRADESMAN 8X5,2015,Trailer,2019-04-23,Waikato
2L834,Silver,Briford,TRAILER,2015,Trailer - Heavy,2019-08-20,Canterbury
2L963,Silver,Factory Built,BRENT SMITH TRAILERS,2015,Trailer,2019-03-06,Central
2LRSB,White,Subaru,LEGACY,1998,Saloon,2019-08-21,Eastern
2N140,Silver,Trailer,BUNNINGS 3X7,2010,Trailer,2019-04-05,Waitemata
2N406,Silver,Trailer,VALUE CARS 8X5 TANDE,2015,Trailer,2019-07-25,Canterbury
2N874,Silver,Kea,KC105,2015,Trailer,2019-03-18,Waikato
2P501,Black,Trailer,HOMEBUILT,2015,Trailer,2019-05-30,Central
2P517,Silver,Oleary,8X4.7,2015,Trailer,2019-04-26,Central
2P775,Blue,Trailer,DAYTECH,2015,Trailer,2019-04-08,Wellington
2P916,Silver,Trailer,NTC,2015,Trailer,2019-05-02,Northland
2R299,Silver,Homebuilt,FLAT DECK,2015,Trailer,2019-05-20,Canterbury
2R462,White,Trailer,TANDEM FURNITURE,2015,Trailer - Heavy,2019-05-13,Canterbury
2R463,White,Trailer,TANDEM FURNITURE,2015,Trailer - Heavy,2019-04-02,Canterbury
2R533,Silver,Briford,TRAILER,2015,Trailer - Heavy,2019-07-25,Eastern
2R544,Silver,Briford,TRAILER,2015,Trailer - Heavy,2019-05-24,Counties/Manukau
2S429,Silver,Trailer,PRESCOTT,2015,Trailer - Heavy,2019-04-23,Bay of Plenty
2U852,White,Trailer,FLAT-DECK TRAILER,2015,Trailer,2019-07-23,Waitemata
2U878,Silver,Trailer,TRAILPRO TRADESMAN,2015,Trailer,2019-08-20,Waikato
